
Výraz	Úroveň	Typ	Slovní druh	Rod	Číslo	Vid	Kapitoly
limonáda	A1	slovo	substantivum	femininum	singulár		6.3.14
linka (telefonní linka)	A1	slovo	substantivum	femininum	singulár		5.6.11; 6.1.4; 6.2.5; 6.2.6; 6.9.8; 6.12.2
líný	A1	slovo	adjektivum				6.1.15
lístek	A1	slovo	substantivum	maskulinum	singulár		6.3.3; 6.5.13; 6.6.6; 6.9.11; 6.11.5
listopad	A1	slovo	substantivum	maskulinum	singulár		4.5.1
litr	A1	slovo	substantivum	maskulinum	singulár		4.2.3; 4.3.8
lyžování	A1	slovo	substantivum	neutrum	singulár		6.5.7
lyžovat	A1	slovo	verbum			imperfektivní	6.5.7
majitelka	A1	slovo	substantivum	femininum	singulár		6.2.2
málo	A1	slovo	adverbium				4.2.3
malý	A1	slovo	adjektivum				4.3.1; 4.3.2; 4.3.3; 4.3.8; 6.1.14
máma	A1	slovo	substantivum	femininum	singulár		6.1.13
maminka	A1	slovo	substantivum	femininum	singulár		6.1.13
manžel	A1	slovo	substantivum	maskulinum	singulár		6.1.8
manželka	A1	slovo	substantivum	femininum	singulár		6.1.8
mapa	A1	slovo	substantivum	femininum	singulár		6.10.3
máslo	A1	slovo	substantivum	neutrum	singulár		6.3.12
maso	A1	slovo	substantivum	neutrum	singulár		6.3.7
matematika	A1	slovo	substantivum	femininum	singulár		6.10.7
matka	A1	slovo	substantivum	femininum	singulár		6.1.1; 6.1.13
medicína	A1	slovo	substantivum	femininum	singulár		6.10.7
měkký	A1	slovo	adjektivum				4.6.10
menu	A1	slovo	substantivum	neutrum	singulár		6.3.3; 6.3.5
měřit	A1	slovo	verbum			imperfektivní	4.3.2; 4.3.3; 4.3.7; 4.3.9; 6.1.14; 6.7.4; 6.7.10; 6.8.9
měsíc	A1	slovo	substantivum	maskulinum	singulár		4.5.1
město	A1	slovo	substantivum	neutrum	singulár		6.14.4
městský	A1	slovo	adjektivum				6.9.6; 6.11.1; 6.14.4
metr	A1	slovo	substantivum	maskulinum	singulár		4.2.3; 4.3.2; 4.3.3; 4.3.7; 4.3.8
metro	A1	slovo	substantivum	neutrum	singulár		6.9.8
Mgr.	A1	slovo	substantivum	maskulinum / femininum	singulár		6.1.2
míč	A1	slovo	substantivum	maskulinum	singulár		6.5.9
milý	A1	slovo	adjektivum				5.5.21; 5.6.2
mince	A1	slovo	substantivum	femininum	singulár		6.8.7
minerálka	A1	slovo	substantivum	femininum	singulár		6.3.14
ministerstvo	A1	slovo	substantivum	neutrum	singulár		6.14.3
minulý	A1	slovo	adjektivum				4.5.2
minus	A1	slovo	substantivum	neutrum	singulár		4.3.9
minuta	A1	slovo	substantivum	femininum	singulár		4.5.1
místnost	A1	slovo	substantivum	femininum	singulár		6.2.3
místo	A1	slovo	substantivum	neutrum	singulár		4.4.1; 4.4.14; 6.1.5; 6.5.13; 6.9.10
mít	A1	slovo	verbum			imperfektivní	4.6.1; 4.7.6; 4.8.9; 5.2.1; 5.2.32; 5.3.1; 5.3.2; 5.3.4; 5.3.5; 5.3.6; 5.3.7; 5.3.8; 5.3.9; 5.3.11; 5.3.12; 5.3.13; 5.3.14; 5.3.15; 5.3.16; 5.3.18; 5.3.22; 5.3.30; 5.3.31; 5.3.32; 5.3.34; 5.5.5; 5.5.10; 5.7.6; 6.1.9; 6.1.14; 6.3.1; 6.5.1; 6.5.6; 6.5.13; 6.7.2
mít se	A1	slovo	verbum			imperfektivní	5.5.29
mladší	A1	slovo	adjektivum				6.1.13
mladý	A1	slovo	adjektivum				4.6.13; 5.5.13; 6.1.14
mléko	A1	slovo	substantivum	neutrum	singulár		6.3.14
mluvit	A1	slovo	verbum			imperfektivní	5.7.4; 6.14.1
mobil	A1	slovo	substantivum	maskulinum	singulár		6.1.4
moc	A1	slovo	adverbium				4.2.3; 4.2.8
moct	A1	slovo	verbum			imperfektivní	5.2.23; 5.2.28; 5.2.29; 5.4.7; 5.6.11; 5.7.3; 5.7.4; 5.7.8
moč	A1	slovo	substantivum	femininum	singulár		6.7.4
moderní	A1	slovo	adjektivum				4.6.13; 6.5.15
modrý	A1	slovo	adjektivum				4.6.8; 6.11.5
mokrý	A1	slovo	adjektivum				4.6.2
Mongol	A1	slovo	substantivum	maskulinum	singulár		6.1.9
Mongolka	A1	slovo	substantivum	femininum	singulár		6.1.9
moře	A1	slovo	substantivum	neutrum	singulár		6.9.12
most	A1	slovo	substantivum	maskulinum	singulár		6.9.4
motor	A1	slovo	substantivum	maskulinum	singulár		6.9.3
MP3	A1	slovo	substantivum	femininum	singulár		6.5.5
mráz	A1	slovo	substantivum	maskulinum	singulár		4.3.9; 6.13.3
mrkev	A1	slovo	substantivum	femininum	singulár		6.3.10
mrtvý	A1	slovo	adjektivum				4.1.4; 6.1.8; 6.9.7
mrznout	A1	slovo	verbum			imperfektivní	6.13.3
MUDr.	A1	slovo	substantivum	maskulinum / femininum	singulár		6.1.2
muset	A1	slovo	verbum			imperfektivní	5.2.32; 5.2.33; 5.2.34; 5.4.11; 5.6.15
muzeum	A1	slovo	substantivum	neutrum	singulár		6.5.10
muzikál	A1	slovo	substantivum	maskulinum	singulár		6.5.11
muž	A1	slovo	substantivum	maskulinum	singulár		6.1.7; 6.1.8; 6.6.2
myčka	A1	slovo	substantivum	femininum	singulár		6.2.5; 6.9.5
mýdlo	A1	slovo	substantivum	neutrum	singulár		6.4.2
mýt	A1	slovo	verbum			imperfektivní	4.6.3; 6.4.3
mýt se	A1	slovo	verbum			imperfektivní	6.4.2
mzda	A1	slovo	substantivum	femininum	singulár		6.6.6
na	A1	slovo	prepozice				4.4.14; 5.3.4; 5.3.34; 5.5.24; 5.5.30; 5.5.31; 5.6.11; 5.6.12; 5.6.15; 6.1.14; 6.2.5; 6.2.6; 6.3.5; 6.4.2; 6.6.2; 6.6.5; 6.7.13; 6.9.6; 6.11.5
nabízet	A1	slovo	verbum			imperfektivní	6.8.4
nábytek (věci, obchod)	A1	slovo	substantivum	maskulinum	singulár		6.2.4; 6.8.1
nádobí	A1	slovo	substantivum	neutrum	singulár		6.2.5; 6.3.16; 6.8.2
nádraží	A1	slovo	substantivum	neutrum	singulár		6.9.9; 6.9.10
nafta	A1	slovo	substantivum	femininum	singulár		6.9.5
nahoru	A1	slovo	adverbium				4.4.19
nahoře	A1	slovo	adverbium				4.4.2
nájemné	A1	slovo	substantivum	neutrum	singulár		6.2.6
nájemnice	A1	slovo	substantivum	femininum	singulár		6.2.2
nájemník	A1	slovo	substantivum	maskulinum	singulár		6.2.2
náklady	A1	slovo	substantivum	maskulinum	plurál		6.2.6
nakonec	A1	slovo	adverbium				4.5.10
nákup	A1	slovo	substantivum	maskulinum	singulár		6.5.2
nakupovat	A1	slovo	verbum			imperfektivní	6.4.1
nalevo	A1	slovo	adverbium				4.4.2
náměstí	A1	slovo	substantivum	neutrum	singulár		6.1.3
nápad	A1	slovo	substantivum	maskulinum	singulár		5.4.3; 5.4.9
nápodobně	A1	slovo	adverbium				5.5.32
nápoj	A1	slovo	substantivum	maskulinum	singulár		6.3.5
napravo	A1	slovo	adverbium				4.4.2
napsat	A1	slovo	verbum			perfektivní	5.7.8; 6.7.4; 6.10.5; 6.14.1
narodit se	A1	slovo	verbum			perfektivní	4.1.4; 6.1.5
narození	A1	slovo	substantivum	neutrum	singulár		4.1.4; 6.1.5
nastoupit (nastoupit do pracovního procesu)	A1	slovo	verbum			perfektivní	6.6.5
nástupiště	A1	slovo	substantivum	neutrum	singulár		6.9.10
nastupovat (do dopravního prostředku)	A1	slovo	verbum			imperfektivní	6.9.8
naučit se	A1	slovo	verbum			perfektivní	6.10.5
navštěvovat	A1	slovo	verbum			imperfektivní	6.5.2; 6.5.11; 6.14.2
ne	A1	slovo	partikule				5.4.20; 5.5.10
nebezpečí	A1	slovo	substantivum	neutrum	singulár		6.12.3
nebo	A1	slovo	konjunkce				4.8.3; 5.3.10
něco	A1	slovo	pronomen				4.2.3
neděle	A1	slovo	substantivum	femininum	singulár		4.5.1
nehoda	A1	slovo	substantivum	femininum	singulár		6.7.3; 6.9.7; 6.12.3
nehodit se	A1	slovo	verbum			imperfektivní	5.4.10
nejdříve	A1	slovo	adverbium				4.5.9
nejen, ale i	A1	slovo	konjunkce				4.8.2
nejlepší	A1	slovo	adjektivum				5.5.20
někam	A1	slovo	adverbium				4.4.19
někde	A1	slovo	adverbium				4.4.2
někdy	A1	slovo	adverbium				4.5.13
několik	A1	slovo	numerále				4.2.3
nemoc	A1	slovo	substantivum	femininum	singulár		6.7.4
nemocenská (dávka)	A1	slovo	substantivum	femininum	singulár		6.7.13; 6.11.4
nemocnice	A1	slovo	substantivum	femininum	singulár		6.6.3; 6.7.4; 6.7.7
nemocný	A1	slovo	adjektivum				6.7.2
nepořádek	A1	slovo	substantivum	maskulinum	singulár		4.6.3
nerad/a/i	A1	slovo	adjektivum				5.3.3
neschopenka	A1	slovo	substantivum	femininum	singulár		6.7.4; 6.7.11
nesmět	A1	slovo	verbum			imperfektivní	5.2.31
nést	A1	slovo	verbum			imperfektivní	4.4.5
neudělat	A1	slovo	verbum			perfektivní	6.10.8
neumět	A1	slovo	verbum			imperfektivní	5.2.27
nezaměstnaný	A1	slovo	substantivum	maskulinum	singulár		6.6.2
nezařízený	A1	slovo	adjektivum				6.2.1
než	A1	slovo	konjunkce				4.8.8
nic	A1	slovo	pronomen				4.2.3; 5.2.12; 5.2.13; 5.3.31; 5.4.20; 5.5.2
nikam	A1	slovo	adverbium				4.4.19
nikdy	A1	slovo	adverbium				4.5.13
nízko	A1	slovo	adverbium				4.3.2; 4.3.3
nízký	A1	slovo	adjektivum				4.3.2; 4.3.3; 4.3.9; 4.6.12
noc	A1	slovo	substantivum	femininum	singulár		4.5.1; 5.5.14
normálně	A1	slovo	adverbium				4.7.7
normální	A1	slovo	adjektivum				4.7.7
nos	A1	slovo	substantivum	maskulinum	singulár		6.7.1
nosit	A1	slovo	verbum			imperfektivní	6.1.14
novinář	A1	slovo	substantivum	maskulinum	singulár		6.6.1
novinářka	A1	slovo	substantivum	femininum	singulár		6.6.1
noviny	A1	slovo	substantivum	femininum	pluralium tantum		6.5.14
nový	A1	slovo	adjektivum				4.6.13
nula	A1	slovo	numerále				4.2.1; 4.3.9
obecní	A1	slovo	adjektivum				6.11.1; 6.14.4
oběd	A1	slovo	substantivum	maskulinum	singulár		6.3.4
obědvat	A1	slovo	verbum			imperfektivní	6.3.4
obchod	A1	slovo	substantivum	maskulinum	singulár		6.6.3; 6.8.1
objednat se	A1	slovo	verbum			perfektivní	6.7.4
oblečení	A1	slovo	substantivum	neutrum	singulár		6.8.2; 6.8.8
oblékat se	A1	slovo	verbum			imperfektivní	6.4.1
obličej	A1	slovo	substantivum	maskulinum	singulár		6.7.1
obor	A1	slovo	substantivum	maskulinum	singulár		6.10.7
obuv (obchod)	A1	slovo	substantivum	femininum	singulár		6.8.1
obyčejně (obvykle)	A1	slovo	adverbium				4.7.7; 6.8.11
oči	A1	slovo	substantivum	femininum	plurál		6.1.14; 6.7.1
očkování	A1	slovo	substantivum	neutrum	singulár		6.7.4; 6.7.10
odejít	A1	slovo	verbum			perfektivní	4.4.8
odesílatel	A1	slovo	substantivum	maskulinum	singulár		6.8.11
oděvy	A1	slovo	substantivum	maskulinum	plurál		6.8.1
odcházet	A1	slovo	verbum			imperfektivní	4.4.8
odjet	A1	slovo	verbum			perfektivní	4.4.8; 6.9.10
odjezd	A1	slovo	substantivum	maskulinum	singulár		4.4.8
odjíždět	A1	slovo	verbum			imperfektivní	4.4.8; 6.9.10
odkdy	A1	slovo	adverbium				4.5.9; 4.5.12; 5.1.8
odkud	A1	slovo	adverbium				4.4.8; 4.4.9; 4.4.10; 5.1.8; 5.1.9
odložit si	A1	slovo	verbum			perfektivní	6.7.4
odpad	A1	slovo	substantivum	maskulinum	singulár		6.2.6
odpočívat	A1	slovo	verbum			imperfektivní	6.4.1
odpoledne	A1	slovo	adverbium				4.5.1
odpovědět	A1	slovo	verbum			perfektivní	6.10.5
odpovídat	A1	slovo	verbum			imperfektivní	6.10.5
okno	A1	slovo	substantivum	neutrum	singulár		6.2.3
oko	A1	slovo	substantivum	neutrum	singulár		6.7.1
okurka	A1	slovo	substantivum	femininum	singulár		6.3.10
omáčka	A1	slovo	substantivum	femininum	singulár		6.3.6
omlouvat se	A1	slovo	verbum			imperfektivní	5.5.1; 5.6.14
opakovat	A1	slovo	verbum			imperfektivní	6.10.5; 6.10.8
operace	A1	slovo	substantivum	femininum	singulár		6.7.4
oprava	A1	slovo	substantivum	femininum	singulár		6.2.6; 6.9.5
opravář	A1	slovo	substantivum	maskulinum	singulár		6.8.10
opravdu	A1	slovo	adverbium				5.2.15
opravit	A1	slovo	verbum			perfektivní	4.7.2; 6.2.5; 6.8.9; 6.9.5
opravovat	A1	slovo	verbum			imperfektivní	6.2.5; 6.8.9; 6.9.5
oranžový	A1	slovo	adjektivum				4.6.8
ordinace	A1	slovo	substantivum	femininum	singulár		6.7.7
ordinační	A1	slovo	adjektivum				6.7.4
orchestr	A1	slovo	substantivum	maskulinum	singulár		6.5.12
osobně	A1	slovo	adverbium				6.11.6
osobní	A1	slovo	adjektivum				6.1.12; 6.6.6; 6.9.1; 6.11.1
ošklivý	A1	slovo	adjektivum				6.1.14
otec	A1	slovo	substantivum	maskulinum	singulár		6.1.1; 6.1.13
otevírat	A1	slovo	verbum			imperfektivní	7.1
otevřeno	A1	slovo	verbum			perfektivní	6.5.13
otevřít	A1	slovo	verbum			perfektivní	6.7.4; 6.8.12
ovoce	A1	slovo	substantivum	neutrum	singulár		6.3.10; 6.8.1
padesát	A1	slovo	numerále				4.2.1
pak	A1	slovo	adverbium				4.5.7
pan	A1	slovo	substantivum	maskulinum	singulár		5.5.13; 5.6.1; 6.1.2
páni (označení toalety)	A1	slovo	substantivum	maskulinum	plurál		6.1.7
paní	A1	slovo	substantivum	femininum	singulár		5.5.12; 5.5.13; 5.6.1; 6.1.2; 6.7.6; 6.8.6
papír	A1	slovo	substantivum	maskulinum	singulár		4.6.9; 6.4.2; 6.10.3
pardon	A1	slovo	substantivum	maskulinum	singulár		5.5.11
párek	A1	slovo	substantivum	maskulinum	singulár		6.3.7
parkovat	A1	slovo	verbum			imperfektivní	6.9.5
parkoviště	A1	slovo	substantivum	neutrum	singulár		6.9.5
pas	A1	slovo	substantivum	maskulinum	singulár		6.1.12
pasta	A1	slovo	substantivum	femininum	singulár		6.4.2
pátek	A1	slovo	substantivum	maskulinum	singulár		4.5.1
pátý	A1	slovo	numerále				4.2.4
pekařství	A1	slovo	substantivum	neutrum	singulár		6.8.1
pěkný	A1	slovo	adjektivum				5.3.2
peníze	A1	slovo	substantivum	maskulinum	pluralium tantum		6.8.6; 6.8.12
pes	A1	slovo	substantivum	maskulinum	singulár		6.13.2
PIN	A1	slovo	substantivum	maskulinum	singulár		6.8.7
písemný	A1	slovo	adjektivum				6.10.8
pít	A1	slovo	verbum			imperfektivní	6.3.1
pití	A1	slovo	substantivum	neutrum	singulár		6.3.1
pivo	A1	slovo	substantivum	neutrum	singulár		6.3.14
pizza	A1	slovo	substantivum	femininum	singulár		6.3.6
plat	A1	slovo	substantivum	maskulinum	singulár		6.6.6; 6.9.6; 6.11.3
platit	A1	slovo	verbum			imperfektivní	6.2.6; 6.3.3; 6.6.6; 6.7.12; 6.8.6; 6.8.7; 6.9.6; 6.11.4
plavání	A1	slovo	substantivum	neutrum	singulár		6.5.7
plavat	A1	slovo	verbum			imperfektivní	4.4.4; 6.5.6; 6.5.7
ples	A1	slovo	substantivum	maskulinum	singulár		6.5.11
plný	A1	slovo	adjektivum				4.2.3
plus	A1	slovo	substantivum	neutrum	singulár		4.3.9
plyn	A1	slovo	substantivum	maskulinum	singulár		6.2.5; 6.2.6
pobyt	A1	slovo	substantivum	maskulinum	singulár		6.1.12; 6.11.6
počasí	A1	slovo	substantivum	neutrum	singulár		6.5.3; 6.5.4; 6.13.3
počítač	A1	slovo	substantivum	maskulinum	singulár		6.2.5; 6.5.2
počítačový	A1	slovo	adjektivum				6.5.5
počítat	A1	slovo	verbum			imperfektivní	4.2.2; 6.10.5
podepsat	A1	slovo	verbum			perfektivní	6.1.12; 6.6.5
podnik	A1	slovo	substantivum	maskulinum	singulár		6.6.3
podnikat	A1	slovo	verbum			imperfektivní	6.6.8
podnikatel	A1	slovo	substantivum	maskulinum	singulár		6.6.1
podnikatelka	A1	slovo	substantivum	femininum	singulár		6.6.1
podpis	A1	slovo	substantivum	maskulinum	singulár		6.1.12
podzim	A1	slovo	substantivum	maskulinum	singulár		4.5.1
pohlednice	A1	slovo	substantivum	femininum	singulár		6.8.11
pohotovost	A1	slovo	substantivum	femininum	singulár		6.7.7
pojistit	A1	slovo	verbum			perfektivní	6.8.14; 6.11.4
pojištěnec	A1	slovo	substantivum	maskulinum	singulár		6.7.11
pojištění	A1	slovo	substantivum	neutrum	singulár		6.1.12; 6.7.12; 6.7.13; 6.8.14; 6.9.2; 6.11.4
pokladna	A1	slovo	substantivum	femininum	singulár		6.5.13; 6.8.7; 6.9.10
pokladní	A1	slovo	substantivum	maskulinum / femininum	singulár		6.8.10
pokoj	A1	slovo	substantivum	maskulinum	singulár		6.2.3; 6.7.7
pokračovat	A1	slovo	verbum			imperfektivní	4.5.11
poledne	A1	slovo	substantivum	neutrum	singulár		4.5.1
polévka	A1	slovo	substantivum	femininum	singulár		6.3.5
policie	A1	slovo	substantivum	femininum	singulár		6.9.6; 6.12.1; 6.14.4
policista	A1	slovo	substantivum	maskulinum	singulár		6.6.1; 6.12.1
policistka	A1	slovo	substantivum	femininum	singulár		6.6.1; 6.12.1
poliklinika	A1	slovo	substantivum	femininum	singulár		6.7.7
polyester	A1	slovo	substantivum	maskulinum	singulár		4.6.9
pomáhat	A1	slovo	verbum			imperfektivní	6.14.2
pomalu	A1	slovo	adverbium				4.3.5; 5.7.4
pomalý	A1	slovo	adjektivum				4.3.5
pomeranč	A1	slovo	substantivum	maskulinum	singulár		6.3.10
pomoc	A1	slovo	substantivum	femininum	singulár		6.11.5
pomoct	A1	slovo	verbum			imperfektivní	5.4.16; 5.4.18; 6.12.2
pondělí	A1	slovo	substantivum	neutrum	singulár		4.5.1
pop	A1	slovo	substantivum	maskulinum	singulár		6.5.15
poplatek	A1	slovo	substantivum	maskulinum	singulár		6.2.6; 6.7.4; 6.8.13; 6.11.1; 6.11.6
poplatky	A1	slovo	substantivum	maskulinum	plurál		6.2.6
porucha	A1	slovo	substantivum	femininum	singulár		4.6.11; 6.12.3
pořád	A1	slovo	adverbium				4.5.11
pořádek	A1	slovo	substantivum	maskulinum	singulár		4.6.3; 5.5.2
poschodí	A1	slovo	substantivum	neutrum	singulár		6.2.1
posilovna	A1	slovo	substantivum	femininum	singulár		6.5.9
poslat	A1	slovo	verbum			perfektivní	4.4.7; 6.5.5; 6.7.4; 6.8.11
poslední	A1	slovo	numerále				4.2.4
poslouchat	A1	slovo	verbum			imperfektivní	4.6.5; 6.5.2
postel	A1	slovo	substantivum	femininum	singulár		6.2.4
pošta	A1	slovo	substantivum	femininum	singulár		6.1.3; 6.8.8
potom	A1	slovo	adverbium				4.5.7
potraviny	A1	slovo	substantivum	femininum	plurál		6.8.2
potřebovat	A1	slovo	verbum			imperfektivní	4.7.4; 5.2.32; 5.2.33; 5.2.34; 5.4.18; 5.4.20; 6.8.4
potvrzení	A1	slovo	substantivum	neutrum	singulár		6.7.11
poukaz	A1	slovo	substantivum	maskulinum	singulár		6.11.6
povolání	A1	slovo	substantivum	neutrum	singulár		6.6.1
povolení	A1	slovo	substantivum	neutrum	singulár		6.1.12; 6.11.5; 6.11.6
pozdě	A1	slovo	adverbium				4.5.8
pozdrav	A1	slovo	substantivum	maskulinum	singulár		5.6.3
pozor	A1	slovo	substantivum	maskulinum	singulár		5.4.13; 6.10.5
práce	A1	slovo	substantivum	femininum	singulár		6.4.3; 6.6.5; 6.6.7
pracovat	A1	slovo	verbum			imperfektivní	6.6.5
pracoviště	A1	slovo	substantivum	neutrum	singulár		6.6.3
pračka	A1	slovo	substantivum	femininum	singulár		6.2.5
prádelna	A1	slovo	substantivum	femininum	singulár		6.8.8
praktický	A1	slovo	adjektivum				4.7.4; 6.7.6
prát	A1	slovo	verbum			imperfektivní	4.6.3; 6.4.3; 6.8.9
pravda	A1	slovo	substantivum	femininum	singulár		5.2.1
právnička	A1	slovo	substantivum	femininum	singulár		6.6.1
právník	A1	slovo	substantivum	maskulinum	singulár		6.6.1
právo	A1	slovo	substantivum	neutrum	singulár		6.10.7
praxe	A1	slovo	substantivum	femininum	singulár		6.6.7
prázdniny	A1	slovo	substantivum	femininum	pluralium tantum		6.5.1
prázdný	A1	slovo	adjektivum				4.2.3
prezident	A1	slovo	substantivum	maskulinum	singulár		6.14.3
prezidentka	A1	slovo	substantivum	femininum	singulár		6.14.3
problém	A1	slovo	substantivum	maskulinum	singulár		4.7.5; 5.3.32
procento	A1	slovo	substantivum	neutrum	singulár		4.2.3
prodat	A1	slovo	verbum			perfektivní	6.2.2; 6.8.4
prodavač	A1	slovo	substantivum	maskulinum	singulár		6.6.1; 6.8.9
prodavačka	A1	slovo	substantivum	femininum	singulár		6.6.1; 6.8.9
prodávat	A1	slovo	verbum			imperfektivní	6.2.2; 6.8.4
profesor	A1	slovo	substantivum	maskulinum	singulár		6.10.4
profesorka	A1	slovo	substantivum	femininum	singulár		6.10.4
program (v televizi)	A1	slovo	substantivum	maskulinum	singulár		6.5.3
prohlédnout	A1	slovo	verbum			perfektivní	6.7.4
prohlídka (lékařská prohlídka)	A1	slovo	substantivum	femininum	singulár		6.7.10; 6.7.11
procházet se	A1	slovo	verbum			imperfektivní	6.5.2
procházka	A1	slovo	substantivum	femininum	singulár		6.5.2
prominout	A1	slovo	verbum			perfektivní	5.4.7; 5.5.1; 5.5.11; 5.6.14; 5.6.15; 5.7.1; 5.7.3
pronájem	A1	slovo	substantivum	maskulinum	singulár		6.2.2
pronajímat si	A1	slovo	verbum			imperfektivní	6.2.2
pronajmout	A1	slovo	verbum			perfektivní	6.2.2
propiska	A1	slovo	substantivum	femininum	singulár		6.10.3
prosinec	A1	slovo	substantivum	maskulinum	singulár		4.5.1
prosit	A1	slovo	verbum			imperfektivní	5.4.4; 5.4.5; 5.4.6; 5.4.16; 5.5.2; 5.5.4; 5.5.11; 5.6.6; 5.6.10; 5.6.11; 5.7.1; 5.7.4
protože	A1	slovo	konjunkce				4.8.5; 5.1.9
prst	A1	slovo	substantivum	maskulinum	singulár		6.7.1
pršet	A1	slovo	verbum			imperfektivní	6.13.3
průjem	A1	slovo	substantivum	maskulinum	singulár		6.7.2
průkaz	A1	slovo	substantivum	maskulinum	singulár		6.7.11; 6.9.2; 6.11.6
průvodce	A1	slovo	substantivum	maskulinum	singulár		6.9.12
průvodčí	A1	slovo	substantivum	maskulinum / femininum	singulár		6.9.10
průvodkyně	A1	slovo	substantivum	femininum	singulár		6.9.12
první	A1	slovo	numerále				4.2.4
pryč	A1	slovo	adverbium				4.4.19
přát si	A1	slovo	verbum			imperfektivní	5.2.37; 5.2.38; 6.8.4
předevčírem	A1	slovo	adverbium				4.5.2; 5.7.1
předložit	A1	slovo	verbum			perfektivní	6.11.7
předpověď	A1	slovo	substantivum	femininum	singulár		6.5.3; 6.13.3
představit	A1	slovo	verbum			perfektivní	5.5.19
přechodný	A1	slovo	adjektivum				6.1.3
překládat	A1	slovo	verbum			imperfektivní	6.14.1
přeložit	A1	slovo	verbum			perfektivní	6.14.1
přesně (míra)	A1	slovo	adverbium				4.2.6; 5.2.1
přestávka	A1	slovo	substantivum	femininum	singulár		4.5.10; 6.10.6
přestoupit	A1	slovo	verbum			perfektivní	6.9.8
přestupovat	A1	slovo	verbum			imperfektivní	6.9.8
příbor	A1	slovo	substantivum	maskulinum	singulár		6.3.16
přihlásit se	A1	slovo	verbum			perfektivní	6.10.1
přihláška	A1	slovo	substantivum	femininum	singulár		6.10.1
přicházet	A1	slovo	verbum			imperfektivní	4.4.8
příjemnou zábavu	A1	slovo	fráze				5.5.33
příjemný	A1	slovo	adjektivum				5.5.33
přijet	A1	slovo	verbum			perfektivní	4.4.8; 6.9.10
příjezd	A1	slovo	substantivum	maskulinum	singulár		4.4.8
přijít	A1	slovo	verbum			perfektivní	4.4.8
přijíždět	A1	slovo	verbum			imperfektivní	4.4.8; 6.9.10
příjmení	A1	slovo	substantivum	neutrum	singulár		6.1.1
příklad	A1	slovo	substantivum	maskulinum	singulár		6.10.5
příloha	A1	slovo	substantivum	femininum	singulár		6.3.5
připravovat	A1	slovo	verbum			imperfektivní	6.3.15
příroda	A1	slovo	substantivum	femininum	singulár		6.13.1
příští	A1	slovo	adjektivum				4.5.4
přítel	A1	slovo	substantivum	maskulinum	singulár		6.1.8; 6.14.2
přítelkyně	A1	slovo	substantivum	femininum	singulár		6.1.8; 6.14.2
přízemí	A1	slovo	substantivum	neutrum	singulár		6.2.1
psát	A1	slovo	verbum			imperfektivní	5.7.8; 6.10.5; 6.14.1
půjčit	A1	slovo	verbum			perfektivní	6.5.14; 6.8.9; 6.8.12; 6.9.5
půjčit si	A1	slovo	verbum			perfektivní	6.9.5
půlnoc	A1	slovo	substantivum	femininum	singulár		4.5.1
pumpa	A1	slovo	substantivum	femininum	singulár		6.9.5
rád	A1	slovo	adjektivum				5.3.1; 5.3.2; 5.3.4; 5.3.5; 5.3.7; 5.3.8; 5.3.9; 5.5.6; 5.5.9
rádio	A1	slovo	substantivum	neutrum	singulár		6.2.5; 6.5.2; 6.5.4
radost	A1	slovo	substantivum	femininum	singulár		5.3.18
rajče	A1	slovo	substantivum	neutrum	singulár		6.3.10
ráno	A1	slovo	adverbium, substantivum				4.5.1; 5.5.14
recept (v lékárně)	A1	slovo	substantivum	maskulinum	singulár		6.8.6
rentgen	A1	slovo	substantivum	maskulinum	singulár		6.7.4; 6.7.8
republika	A1	slovo	substantivum	femininum	singulár		6.14.4
restaurace	A1	slovo	substantivum	femininum	singulár		6.3.2
rezavý	A1	slovo	adjektivum				6.1.14
rezervovat	A1	slovo	verbum			imperfektivní	6.9.9
rezervovat si	A1	slovo	verbum			imperfektivní	6.5.13
režisér	A1	slovo	substantivum	maskulinum	singulár		6.5.12
režisérka	A1	slovo	substantivum	femininum	singulár		6.5.12
rock	A1	slovo	substantivum	maskulinum	singulár		6.5.15
ročník	A1	slovo	substantivum	maskulinum	singulár		6.10.1
rodič	A1	slovo	substantivum	maskulinum	singulár		6.10.4
rodiče	A1	slovo	substantivum	maskulinum	plurál		6.10.4
rodina	A1	slovo	substantivum	femininum	singulár		6.1.13
rohlík	A1	slovo	substantivum	maskulinum	singulár		6.3.11
rok	A1	slovo	substantivum	maskulinum	singulár		4.5.1; 6.1.6
rovně	A1	slovo	adverbium				4.4.21
rovný (o vlasech)	A1	slovo	adjektivum				6.1.14
rozbitý	A1	slovo	adjektivum				4.6.11; 6.2.5
rozhlas	A1	slovo	substantivum	maskulinum	singulár		6.2.6; 6.5.2; 6.5.4
rozumět	A1	slovo	verbum			imperfektivní	5.7.1; 5.7.2; 6.14.1
rozvedená	A1	slovo	adjektivum				6.1.8
rozvedený	A1	slovo	adjektivum				6.1.8
ručník	A1	slovo	substantivum	maskulinum	singulár		6.4.2
ruka	A1	slovo	substantivum	femininum	singulár		6.7.1
rukavice	A1	slovo	substantivum	femininum	singulár		6.6.5; 6.8.3
Rus	A1	slovo	substantivum	maskulinum	singulár		6.1.9
Ruska	A1	slovo	substantivum	femininum	singulár		6.1.9
rušno	A1	slovo	adverbium				4.6.5
různý	A1	slovo	adjektivum				4.8.8
růžový	A1	slovo	adjektivum				4.6.8
ryba	A1	slovo	substantivum	femininum	singulár		6.3.7
