
Výraz	Úroveň	Typ	Slovní druh	Rod	Číslo	Vid	Kapitoly
nákladní	A2	slovo	adjektivum				6.9.1
nakoupit	A2	slovo	verbum			perfektivní	6.4.1
nakrájet	A2	slovo	verbum			perfektivní	6.3.15
nakreslit	A2	slovo	verbum			perfektivní	6.10.5
nákupní	A2	slovo	adjektivum				6.8.1
nalít	A2	slovo	verbum			perfektivní	4.4.5
namalovat se	A2	slovo	verbum			perfektivní	6.4.2
namasírovat	A2	slovo	verbum			perfektivní	6.8.9
naobědvat se	A2	slovo	verbum			perfektivní	6.3.4
napít se	A2	slovo	verbum			perfektivní	5.4.9; 6.3.1
nápojový	A2	slovo	adjektivum				6.3.3
naprosto	A2	slovo	adverbium				5.2.16
naproti	A2	slovo	adverbium, prepozice				4.4.2
napřed	A2	slovo	adverbium				4.5.8
národnost	A2	slovo	substantivum	femininum	singulár		6.1.9
nasnídat se	A2	slovo	verbum			perfektivní	6.3.4
nastoupit (nastoupit do dopravního prostředku)	A2	slovo	verbum			perfektivní	6.9.8
nástroj	A2	slovo	substantivum	maskulinum	singulár		6.5.6
nasvačit se	A2	slovo	verbum			perfektivní	6.3.4
nasypat	A2	slovo	verbum			perfektivní	4.4.5
natankovat	A2	slovo	verbum			perfektivní	6.9.5
navečeřet se	A2	slovo	verbum			perfektivní	6.3.4
navigace	A2	slovo	substantivum	femininum	singulár		6.9.3
navigace GPS	A2	slovo	substantivum	femininum	singulár		6.9.3
návštěva	A2	slovo	substantivum	femininum	singulár		6.5.2; 6.10.1
navštívit	A2	slovo	verbum			perfektivní	6.5.2; 6.5.11; 6.9.12; 6.14.2
nebavit	A2	slovo	verbum			imperfektivní	5.3.16
nebe	A2	slovo	substantivum	neutrum	singulár		6.13.1
nebezpečný	A2	slovo	adjektivum				6.6.5
nedaleko	A2	slovo	adverbium				4.3.4
nedávno	A2	slovo	adverbium				4.5.2
nehtový	A2	slovo	adjektivum				6.8.8
nejraději	A2	slovo	adjektivum				5.3.13
někudy	A2	slovo	adverbium				4.4.21
nepamatovat si	A2	slovo	verbum			imperfektivní	5.2.13
neperlivý	A2	slovo	adjektivum				6.3.14
nepřestupní	A2	slovo	adjektivum				6.9.8
nerozhodně	A2	slovo	adverbium				6.5.8
nervózní	A2	slovo	adjektivum				6.1.15
nervy	A2	slovo	substantivum	maskulinum	plurál		5.3.34
nesnášet	A2	slovo	verbum			imperfektivní	5.3.9
nesympatický	A2	slovo	adjektivum				5.3.9
neurčitý	A2	slovo	adjektivum				6.6.5
nevědět	A2	slovo	verbum			imperfektivní	5.2.13
nevhodný	A2	slovo	adjektivum				4.7.3
nevlastní	A2	slovo	adjektivum				6.1.13
nevzpomenout si	A2	slovo	verbum			perfektivní	5.2.11; 5.2.13
nevzpomínat si	A2	slovo	verbum			imperfektivní	5.2.11; 5.2.13
nezajímat	A2	slovo	verbum			imperfektivní	5.3.16; 5.3.29
nezaměstnanost	A2	slovo	substantivum	femininum	singulár		6.11.5
nezapomenout	A2	slovo	verbum			perfektivní	5.2.11; 5.2.12
neziskový	A2	slovo	adjektivum				6.14.2
noční	A2	slovo	adjektivum				4.5.1
nostrifikace	A2	slovo	substantivum	femininum	singulár		6.10.9
notebook	A2	slovo	substantivum	maskulinum	singulár		6.10.3
nouze	A2	slovo	substantivum	femininum	singulár		6.11.5
nově	A2	slovo	adverbium				4.6.13
nůž	A2	slovo	substantivum	maskulinum	singulár		6.3.16
o	A2	slovo	prepozice				5.3.16; 6.1.9; 6.5.4; 6.7.11
obarvit	A2	slovo	verbum			perfektivní	6.8.9
občan	A2	slovo	substantivum	maskulinum	singulár		6.14.3
občanka	A2	slovo	substantivum	femininum	singulár		6.14.3
občanství	A2	slovo	substantivum	neutrum	singulár		6.1.9
občerstvení	A2	slovo	substantivum	neutrum	singulár		6.3.2
obec	A2	slovo	substantivum	femininum	singulár		6.1.3
obézní	A2	slovo	adjektivum				6.1.14
obchodnice	A2	slovo	substantivum	femininum	singulár		6.8.10
obchodník	A2	slovo	substantivum	maskulinum	singulár		6.8.10
objednat si	A2	slovo	verbum			perfektivní	6.3.3
objednávka	A2	slovo	substantivum	femininum	singulár		6.3.5
objem	A2	slovo	substantivum	maskulinum	singulár		4.3.8
objet	A2	slovo	verbum			perfektivní	4.4.16; 6.9.4
objezd	A2	slovo	substantivum	maskulinum	singulár		4.4.16; 6.9.4
objíždět	A2	slovo	verbum			imperfektivní	4.4.16; 6.9.4
objížďka	A2	slovo	substantivum	femininum	singulár		4.4.16; 6.9.4
oblek	A2	slovo	substantivum	maskulinum	singulár		6.8.3
obléknout se	A2	slovo	verbum			perfektivní	6.4.1
obsluha	A2	slovo	substantivum	femininum	singulár		6.3.3
obuv (oblečení)	A2	slovo	substantivum	femininum	singulár		6.8.2; 6.8.8
obviněný (na policii)	A2	slovo	substantivum	maskulinum	singulár		6.12.1
obvykle	A2	slovo	adverbium				4.7.7
obyčejně (poslat dopis na poště)	A2	slovo	adverbium				6.8.11
obyčejný	A2	slovo	adjektivum				4.7.7; 6.8.11
obývací	A2	slovo	adjektivum				6.2.3
obývák	A2	slovo	substantivum	maskulinum	singulár		6.2.3
obžalovaný	A2	slovo	substantivum	maskulinum	singulár		6.11.8
ocel	A2	slovo	substantivum	femininum	singulár		4.6.9
očkovací	A2	slovo	adjektivum				6.7.11
oční	A2	slovo	adjektivum				6.7.6
od	A2	slovo	prepozice				5.1.9
odbavení	A2	slovo	substantivum	neutrum	singulár		6.9.11
odbavit se	A2	slovo	verbum			perfektivní	6.9.11
odbočit	A2	slovo	verbum			perfektivní	4.4.17
odbočka	A2	slovo	substantivum	femininum	singulár		4.4.17
odbočovat	A2	slovo	verbum			imperfektivní	4.4.17
odbor	A2	slovo	substantivum	maskulinum	singulár		6.11.1
odborný	A2	slovo	adjektivum				6.7.6; 6.10.1; 6.10.9
oddělení	A2	slovo	substantivum	neutrum	singulár		6.7.7; 6.8.1
oděv	A2	slovo	substantivum	maskulinum	singulár		6.8.8
odlet	A2	slovo	substantivum	maskulinum	singulár		4.4.8
odletět	A2	slovo	verbum			perfektivní	4.4.8; 6.9.11
odměna	A2	slovo	substantivum	femininum	singulár		6.6.6
odněkud	A2	slovo	adverbium				4.4.20
odnést	A2	slovo	verbum			perfektivní	4.4.9
odnikud	A2	slovo	adverbium				4.4.20
odpočinout si	A2	slovo	verbum			perfektivní	6.4.1
odpolední	A2	slovo	adjektivum				4.5.1
odtamtud	A2	slovo	adverbium				4.4.20
odtud	A2	slovo	adverbium				4.4.20
odvážný	A2	slovo	adjektivum				6.1.15
odvést	A2	slovo	verbum			perfektivní	4.4.9
odvézt	A2	slovo	verbum			perfektivní	4.4.9
ohlásit	A2	slovo	verbum			perfektivní	6.11.6; 6.12.1
oholit se	A2	slovo	verbum			perfektivní	6.4.2
ochutnat	A2	slovo	verbum			perfektivní	4.6.6
ojetý	A2	slovo	adjektivum				6.9.5
okresní	A2	slovo	adjektivum				6.14.4
olej	A2	slovo	substantivum	maskulinum	singulár		6.3.13
olympiáda	A2	slovo	substantivum	femininum	singulár		6.5.8
omezený	A2	slovo	adjektivum				6.6.8
opera	A2	slovo	substantivum	femininum	singulár		6.5.11
operovat	A2	slovo	verbum			imperfektivní	6.7.4
opoziční	A2	slovo	adjektivum				6.14.3
opravna	A2	slovo	substantivum	femininum	singulár		6.8.8
optika	A2	slovo	substantivum	femininum	singulár		6.8.8
optimista	A2	slovo	substantivum	maskulinum	singulár		6.1.15
optimistka	A2	slovo	substantivum	femininum	singulár		6.1.15
oranžová (barva na semaforu)	A2	slovo	substantivum	femininum	singulár		6.9.4
ordinovat	A2	slovo	verbum			imperfektivní	6.7.4
organizace	A2	slovo	substantivum	femininum	singulár		6.14.2
orientační	A2	slovo	adjektivum				6.1.3
osmažit	A2	slovo	verbum			perfektivní	6.3.15
osoba	A2	slovo	substantivum	femininum	singulár		6.6.8
osprchovat se	A2	slovo	verbum			perfektivní	6.4.2
ostrý	A2	slovo	adjektivum				4.6.6
ostříhat	A2	slovo	verbum			perfektivní	6.8.9
ošetřit	A2	slovo	verbum			perfektivní	6.8.9
ošetřovat	A2	slovo	verbum			imperfektivní	6.8.9
ošetřovatel	A2	slovo	substantivum	maskulinum	singulár		6.7.6
ošetřovatelka	A2	slovo	substantivum	femininum	singulár		6.7.6
ošetřovné	A2	slovo	substantivum	neutrum	singulár		6.7.13
otáčet se	A2	slovo	verbum			imperfektivní	4.4.6
oteklý	A2	slovo	adjektivum				6.7.2
otočit se	A2	slovo	verbum			perfektivní	4.4.6
ověřený	A2	slovo	adjektivum				6.11.7
ověřit	A2	slovo	verbum			perfektivní	6.11.7
ověřovat	A2	slovo	verbum			imperfektivní	6.11.7
ovocný	A2	slovo	adjektivum				6.3.10
označit	A2	slovo	verbum			perfektivní	6.9.8
oznámení	A2	slovo	substantivum	neutrum	singulár		6.11.8
oženit se	A2	slovo	verbum			perfektivní	6.1.8
P.O. box	A2	slovo	substantivum	maskulinum	singulár		6.1.3
padat	A2	slovo	verbum			imperfektivní	4.4.11
páchnout	A2	slovo	verbum			imperfektivní	4.6.7
palačinka	A2	slovo	substantivum	femininum	singulár		6.3.9
pálivý	A2	slovo	adjektivum				4.6.6
památka	A2	slovo	substantivum	femininum	singulár		6.5.2; 6.9.12
památky	A2	slovo	substantivum	femininum	plurál		6.5.2
pamatovat si	A2	slovo	verbum			imperfektivní	5.2.11; 5.2.12; 5.2.13; 5.2.14
panel	A2	slovo	substantivum	maskulinum	singulár		6.2.5
pánev	A2	slovo	substantivum	femininum	singulár		6.3.16
pantofle	A2	slovo	substantivum	maskulinum	plurál		6.8.3
papírnictví	A2	slovo	substantivum	neutrum	singulár		6.8.1
papírový	A2	slovo	adjektivum				4.6.9
paprika	A2	slovo	substantivum	femininum	singulár		6.3.10
parlament	A2	slovo	substantivum	maskulinum	singulár		6.14.3
partner	A2	slovo	substantivum	maskulinum	singulár		6.1.8
partnerka	A2	slovo	substantivum	femininum	singulár		6.1.8
pás	A2	slovo	substantivum	maskulinum	singulár		6.9.3
paštika	A2	slovo	substantivum	femininum	singulár		6.3.7
patro	A2	slovo	substantivum	neutrum	singulár		6.2.1
patřit	A2	slovo	verbum			imperfektivní	4.8.9
péct	A2	slovo	verbum			imperfektivní	6.3.15
pečivo	A2	slovo	substantivum	neutrum	singulár		6.3.11
pedikúra	A2	slovo	substantivum	femininum	singulár		6.8.8
pekáč	A2	slovo	substantivum	maskulinum	singulár		6.3.16
pepř	A2	slovo	substantivum	maskulinum	singulár		6.3.13
perlivý	A2	slovo	adjektivum				6.3.14
pesimista	A2	slovo	substantivum	maskulinum	singulár		6.1.15
pesimistka	A2	slovo	substantivum	femininum	singulár		6.1.15
pěstovat	A2	slovo	verbum			imperfektivní	6.13.2
pěší	A2	slovo	adjektivum				6.9.4
petržel	A2	slovo	substantivum	maskulinum	singulár		6.3.10
pevný	A2	slovo	adjektivum				4.6.10
piano	A2	slovo	substantivum	neutrum	singulár		6.5.6
píchnout	A2	slovo	verbum			perfektivní	6.7.4
plán	A2	slovo	substantivum	maskulinum	singulár		5.2.36
plast	A2	slovo	substantivum	maskulinum	singulár		4.6.9
plastový	A2	slovo	adjektivum				4.6.9
pláštěnka	A2	slovo	substantivum	femininum	singulár		6.8.3
platný	A2	slovo	adjektivum				6.1.12
plavky	A2	slovo	substantivum	femininum	pluralium tantum		6.5.9
pleš	A2	slovo	substantivum	femininum	singulár		6.1.14
plíce	A2	slovo	substantivum	femininum	pluralium tantum		6.7.1; 6.7.5
plnoštíhlý	A2	slovo	adjektivum				6.1.14
plomba	A2	slovo	substantivum	femininum	singulár		6.7.8
plombovat	A2	slovo	verbum			imperfektivní	6.7.8
plzeňské (plzeňské pivo)	A2	slovo	substantivum	neutrum	singulár		6.3.14
pneumatika	A2	slovo	substantivum	femininum	singulár		6.9.3
pneuservis	A2	slovo	substantivum	maskulinum	singulár		6.9.5
po	A2	slovo	prepozice				5.3.34
počet	A2	slovo	substantivum	maskulinum	singulár		4.2.1
počkat	A2	slovo	verbum			perfektivní	5.4.18; 6.9.10
podání	A2	slovo	substantivum	neutrum	singulár		6.12.1
podat	A2	slovo	verbum			perfektivní	6.11.3; 6.11.7
podezřelý (být podezřelý)	A2	slovo	substantivum	maskulinum	singulár		6.12.1
podívat se	A2	slovo	verbum			perfektivní	4.6.4; 6.5.2; 6.8.5
podlaha	A2	slovo	substantivum	femininum	singulár		6.2.3
podnájem	A2	slovo	substantivum	maskulinum	singulár		6.2.2
podnikový	A2	slovo	adjektivum				6.3.2
podobný	A2	slovo	adjektivum				4.8.8
podpatek	A2	slovo	substantivum	maskulinum	singulár		6.8.3
podpora	A2	slovo	substantivum	femininum	singulár		6.11.5
podřízený	A2	slovo	substantivum	maskulinum	singulár		6.6.4
podzimní	A2	slovo	adjektivum				4.5.1
poezie	A2	slovo	substantivum	femininum	singulár		6.5.14
pohádka	A2	slovo	substantivum	femininum	singulár		6.5.3; 6.5.14
pohlaví	A2	slovo	substantivum	neutrum	singulár		6.1.7
pohodlný	A2	slovo	adjektivum				6.2.4
pochybovat	A2	slovo	verbum			imperfektivní	5.2.18
pojistit se	A2	slovo	verbum			perfektivní	6.7.12; 6.11.4
pojistné	A2	slovo	substantivum	neutrum	singulár		6.7.12; 6.8.14; 6.11.4
pojištěný	A2	slovo	adjektivum				6.7.12
pojišťovatel	A2	slovo	substantivum	maskulinum	singulár		6.8.10
pojišťovatelka	A2	slovo	substantivum	femininum	singulár		6.8.10
pojišťovna	A2	slovo	substantivum	femininum	singulár		6.7.12; 6.8.6; 6.8.8; 6.8.14
pokládat	A2	slovo	verbum			imperfektivní	4.4.7
pokračování	A2	slovo	substantivum	neutrum	singulár		4.5.11
pokuta	A2	slovo	substantivum	femininum	singulár		6.9.6
pole	A2	slovo	substantivum	neutrum	singulár		6.13.1
policejní	A2	slovo	adjektivum				6.12.1
polička	A2	slovo	substantivum	femininum	singulár		6.2.4
politický	A2	slovo	adjektivum				6.14.3
politička	A2	slovo	substantivum	femininum	singulár		6.14.3
politik	A2	slovo	substantivum	maskulinum	singulár		6.14.3
politika	A2	slovo	substantivum	femininum	singulár		6.5.6
polojasno	A2	slovo	adverbium				6.13.3
polovina	A2	slovo	substantivum	femininum	singulár		4.2.3
položit	A2	slovo	verbum			perfektivní	4.4.7; 6.2.4
pomůcka	A2	slovo	substantivum	femininum	singulár		6.6.5
pondělní	A2	slovo	adjektivum				4.5.1
ponožky	A2	slovo	substantivum	femininum	plurál		6.8.3
popisný	A2	slovo	adjektivum				6.1.3
porcelán	A2	slovo	substantivum	maskulinum	singulár		4.6.9
porcelánový	A2	slovo	adjektivum				4.6.9
porod	A2	slovo	substantivum	maskulinum	singulár		6.7.9
porodné	A2	slovo	substantivum	neutrum	singulár		6.11.5
porodnice	A2	slovo	substantivum	femininum	singulár		6.7.7; 6.7.9
porozumět	A2	slovo	verbum			perfektivní	7.1
pořad	A2	slovo	substantivum	maskulinum	singulár		6.5.3
posadit	A2	slovo	verbum			perfektivní	4.4.7
posílat	A2	slovo	verbum			imperfektivní	4.4.7; 6.5.5; 6.7.4; 6.8.11
poslanec	A2	slovo	substantivum	maskulinum	singulár		6.14.3
poslanecký	A2	slovo	adjektivum				6.14.3
poslankyně	A2	slovo	substantivum	femininum	singulár		6.14.3
poslechnout si	A2	slovo	verbum			perfektivní	4.6.5; 6.5.2
pospíchat	A2	slovo	verbum			imperfektivní	4.3.5
postava	A2	slovo	substantivum	femininum	singulár		6.1.14
postavit	A2	slovo	verbum			perfektivní	4.4.7
postižený	A2	slovo	substantivum	maskulinum	singulár		6.11.4; 6.11.5
poškozený (být poškozený)	A2	slovo	adjektivum				4.6.11
poštovné	A2	slovo	substantivum	neutrum	singulár		6.8.11
poštovní	A2	slovo	adjektivum				6.8.11
potok	A2	slovo	substantivum	maskulinum	singulár		6.13.1
potrat	A2	slovo	substantivum	maskulinum	singulár		6.7.9
potřeba	A2	slovo	substantivum	femininum	singulár		6.8.1; 6.8.2
potřebný	A2	slovo	adjektivum				4.7.4
pouštět si	A2	slovo	verbum			imperfektivní	6.5.5
použít	A2	slovo	verbum			perfektivní	4.7.4
používat	A2	slovo	verbum			imperfektivní	4.7.4
povaha	A2	slovo	substantivum	femininum	singulár		6.1.15
pověsit	A2	slovo	verbum			perfektivní	4.4.7
povídat si o	A2	slovo	verbum			imperfektivní	7.1
povodeň	A2	slovo	substantivum	femininum	singulár		6.12.3
později	A2	slovo	adverbium				4.5.7
pozítří	A2	slovo	adverbium				4.5.4
poznávat	A2	slovo	verbum			imperfektivní	5.5.17
pozvat	A2	slovo	verbum			perfektivní	6.14.2
požádat	A2	slovo	verbum			perfektivní	6.1.9; 6.11.1; 6.11.2; 6.11.4; 6.11.5
požár	A2	slovo	substantivum	maskulinum	singulár		6.12.3
prací	A2	slovo	adjektivum				6.4.3
pracovitý	A2	slovo	adjektivum				6.1.15
pracovní	A2	slovo	adjektivum				6.6.5; 6.11.5
prádlo	A2	slovo	substantivum	neutrum	singulár		6.8.2; 6.8.3
prarodič	A2	slovo	substantivum	maskulinum	singulár		6.1.13
prášek	A2	slovo	substantivum	maskulinum	singulár		6.4.3
prášky	A2	slovo	substantivum	maskulinum	plurál		6.8.6
právě	A2	slovo	adverbium				4.5.3
pravidelně	A2	slovo	adverbium				4.5.13
právnický	A2	slovo	adjektivum				6.6.8
pravoslavný	A2	slovo	adjektivum				6.1.11
pravý	A2	slovo	adjektivum				4.4.2; 6.1.12
preventivní	A2	slovo	adjektivum				6.7.10; 6.7.11
primátor	A2	slovo	substantivum	maskulinum	singulár		6.11.1
primátorka	A2	slovo	substantivum	femininum	singulár		6.11.1
pro	A2	slovo	prepozice				6.11.5
probudit se	A2	slovo	verbum			perfektivní	6.4.1
proč	A2	slovo	adverbium				5.1.8
prodejný	A2	slovo	adjektivum				6.8.6
profese	A2	slovo	substantivum	femininum	singulár		6.6.1
program (kulturní program)	A2	slovo	substantivum	maskulinum	singulár		6.5.5
prohlédnout si	A2	slovo	verbum			perfektivní	6.9.12
prohlídka (technická prohlídka auta)	A2	slovo	substantivum	femininum	singulár		6.9.2
prohlížeč	A2	slovo	substantivum	maskulinum	singulár		6.5.5
prohlížet si	A2	slovo	verbum			imperfektivní	6.9.12
prohrát	A2	slovo	verbum			perfektivní	6.5.8
prohrávat	A2	slovo	verbum			imperfektivní	6.5.8
projektor	A2	slovo	substantivum	maskulinum	singulár		6.10.3
projet	A2	slovo	verbum			perfektivní	4.4.15; 6.9.4
projít	A2	slovo	verbum			perfektivní	6.9.12
projít se	A2	slovo	verbum			perfektivní	6.5.2
projíždět	A2	slovo	verbum			imperfektivní	4.4.15; 6.9.4
pronajímat	A2	slovo	verbum			imperfektivní	6.2.2
pronajmout si	A2	slovo	verbum			perfektivní	6.2.2
prostor	A2	slovo	substantivum	maskulinum	singulár		6.14.3
prostředek	A2	slovo	substantivum	maskulinum	singulár		6.4.3; 6.9.1
prostřední	A2	slovo	adjektivum				4.4.2
proti	A2	slovo	prepozice				6.8.6
provedení	A2	slovo	substantivum	neutrum	singulár		6.6.5
průměrný	A2	slovo	adjektivum				4.7.1; 6.6.6
prý	A2	slovo	partikule				5.2.21
přát	A2	slovo	verbum			imperfektivní	5.5.25
přečíst	A2	slovo	verbum			perfektivní	6.5.2; 6.5.14; 6.10.5; 6.14.1
předat	A2	slovo	verbum			perfektivní	5.6.15
předčasný	A2	slovo	adjektivum				6.11.4
předepsat	A2	slovo	verbum			perfektivní	6.7.4
předchozí	A2	slovo	adjektivum				6.1.1
předjet	A2	slovo	verbum			perfektivní	4.4.12
předjíždět	A2	slovo	verbum			imperfektivní	4.4.12
předkrm	A2	slovo	substantivum	maskulinum	singulár		6.3.5
předmět	A2	slovo	substantivum	maskulinum	singulár		6.10.7
přednáška	A2	slovo	substantivum	femininum	singulár		6.10.6
přední	A2	slovo	adjektivum				4.4.2
předplatné	A2	slovo	substantivum	neutrum	singulár		6.5.13
předposlední	A2	slovo	numerále				4.2.4
předprodej	A2	slovo	substantivum	maskulinum	singulár		6.5.13
předsíň	A2	slovo	substantivum	femininum	singulár		6.2.3
představení	A2	slovo	substantivum	neutrum	singulár		6.5.11
předtím	A2	slovo	adverbium				4.5.5
předvolba	A2	slovo	substantivum	femininum	singulár		6.1.4
přehled	A2	slovo	substantivum	maskulinum	singulár		6.11.4
přecházet	A2	slovo	verbum			imperfektivní	4.4.15
přechod	A2	slovo	substantivum	maskulinum	singulár		4.4.15
přejet	A2	slovo	verbum			perfektivní	6.9.4
přejezd	A2	slovo	substantivum	maskulinum	singulár		6.9.4
přejít	A2	slovo	verbum			perfektivní	4.4.15
přejíždět	A2	slovo	verbum			imperfektivní	6.9.4
překlad	A2	slovo	substantivum	maskulinum	singulár		6.11.6
překladatel	A2	slovo	substantivum	maskulinum	singulár		6.14.1
překladatelka	A2	slovo	substantivum	femininum	singulár		6.14.1
přepadení	A2	slovo	substantivum	neutrum	singulár		6.12.1
přepážka	A2	slovo	substantivum	femininum	singulár		6.8.11
přeplatek	A2	slovo	substantivum	maskulinum	singulár		6.2.6
přepočítat	A2	slovo	verbum			perfektivní	6.8.7
přepojit	A2	slovo	verbum			perfektivní	5.6.11; 5.6.15
přesčas	A2	slovo	substantivum	maskulinum	singulár		6.6.5
přesnídávka	A2	slovo	substantivum	femininum	singulár		6.3.4
přestat	A2	slovo	verbum			perfektivní	4.5.10
přestávat	A2	slovo	verbum			imperfektivní	4.5.10
přestěhovat se	A2	slovo	verbum			perfektivní	6.1.3
přestupek	A2	slovo	substantivum	maskulinum	singulár		6.11.1
přestupní	A2	slovo	adjektivum				6.9.8
převod	A2	slovo	substantivum	maskulinum	singulár		6.8.7; 6.8.12
příbuzná	A2	slovo	substantivum	femininum	singulár		6.1.13
příbuzný	A2	slovo	substantivum	maskulinum	singulár		6.1.13
přidat	A2	slovo	verbum			perfektivní	4.2.3; 6.3.15
přídavek	A2	slovo	substantivum	maskulinum	singulár		6.11.5
příchod	A2	slovo	substantivum	maskulinum	singulár		4.4.8
příjem	A2	slovo	substantivum	maskulinum	singulár		6.11.3
přijímací	A2	slovo	adjektivum				6.10.8
přílet	A2	slovo	substantivum	maskulinum	singulár		4.4.8
přiletět	A2	slovo	verbum			perfektivní	4.4.8; 6.9.11
příliš	A2	slovo	adverbium				4.2.8
přinést	A2	slovo	verbum			perfektivní	4.4.9; 6.3.3
případ	A2	slovo	substantivum	maskulinum	singulár		5.2.5
příplatek	A2	slovo	substantivum	maskulinum	singulár		6.6.6
připojení	A2	slovo	substantivum	neutrum	singulár		6.2.5
připravit	A2	slovo	verbum			perfektivní	6.3.15
příruční	A2	slovo	adjektivum				6.9.11
příslušnost	A2	slovo	substantivum	femininum	singulár		6.1.9
přísný	A2	slovo	adjektivum				6.10.4
příspěvek	A2	slovo	substantivum	maskulinum	singulár		6.2.6; 6.11.5
příště	A2	slovo	adverbium				4.5.4
přivést	A2	slovo	verbum			perfektivní	4.4.9
přivézt	A2	slovo	verbum			perfektivní	4.4.9
přiznání	A2	slovo	substantivum	neutrum	singulár		6.11.3
psychiatr	A2	slovo	substantivum	maskulinum	singulár		6.7.6
psychiatrička	A2	slovo	substantivum	femininum	singulár		6.7.6
ptát se	A2	slovo	verbum			imperfektivní	5.1.7; 5.1.11; 6.10.5
půjčka	A2	slovo	substantivum	femininum	singulár		6.8.12
půjčovat	A2	slovo	verbum			imperfektivní	6.5.14; 6.8.9; 6.9.5
půjčovat si	A2	slovo	verbum			imperfektivní	6.9.5
půjčovna	A2	slovo	substantivum	femininum	singulár		6.8.8; 6.9.5
půl	A2	slovo	numerále				4.2.3; 4.5.1; 6.6.5
půlka	A2	slovo	substantivum	femininum	singulár		4.2.3
punčocháče	A2	slovo	substantivum	maskulinum	pluralium tantum		6.8.3
punčochy	A2	slovo	substantivum	femininum	plurál		6.8.3
pustit (pustit vodu)	A2	slovo	verbum			perfektivní	6.2.5
pustit si (pustit si hudbu)	A2	slovo	verbum			perfektivní	6.5.5
původ	A2	slovo	substantivum	maskulinum	singulár		6.1.10
pyžamo	A2	slovo	substantivum	neutrum	singulár		6.8.3
raději	A2	slovo	adjektivum				5.4.15
raketa	A2	slovo	substantivum	femininum	singulár		6.5.9
rakovina	A2	slovo	substantivum	femininum	singulár		6.7.5
rána	A2	slovo	substantivum	femininum	singulár		6.7.3
ranní	A2	slovo	adjektivum				4.5.1
realitní	A2	slovo	adjektivum				6.8.8; 6.8.10
recept (na vaření)	A2	slovo	substantivum	maskulinum	singulár		6.3.15; 6.7.4
registr	A2	slovo	substantivum	maskulinum	singulár		6.11.1
rehabilitace	A2	slovo	substantivum	femininum	singulár		6.7.7
rejstřík	A2	slovo	substantivum	maskulinum	singulár		6.11.2; 6.11.7
reklama	A2	slovo	substantivum	femininum	singulár		6.5.3
reklamovat	A2	slovo	verbum			imperfektivní	6.8.4
revizor	A2	slovo	substantivum	maskulinum	singulár		6.9.8
revizorka	A2	slovo	substantivum	femininum	singulár		6.9.8
rockový	A2	slovo	adjektivum				6.5.15
roční	A2	slovo	adjektivum				4.5.1
rodičovský	A2	slovo	adjektivum				6.6.2; 6.11.5
rodit	A2	slovo	verbum			imperfektivní	6.7.9
rodný	A2	slovo	adjektivum				6.1.1; 6.1.12
román	A2	slovo	substantivum	maskulinum	singulár		6.5.14
rostlina	A2	slovo	substantivum	femininum	singulár		6.13.2
rovina	A2	slovo	substantivum	femininum	singulár		6.13.1
rovný (ne křivý)	A2	slovo	adjektivum				4.6.1
rozdíl	A2	slovo	substantivum	maskulinum	singulár		4.8.8
rozhlasový	A2	slovo	adjektivum				6.5.4
rozhodně	A2	slovo	adverbium				5.2.17
rozloha	A2	slovo	substantivum	femininum	singulár		4.3.7
rozloučení	A2	slovo	substantivum	neutrum	singulár		5.6.19
rozměr	A2	slovo	substantivum	maskulinum	singulár		4.3.3
rozsudek	A2	slovo	substantivum	maskulinum	singulár		6.11.8
rozsvítit	A2	slovo	verbum			perfektivní	6.2.5
rozvádět se	A2	slovo	verbum			imperfektivní	6.1.8
rozvést se	A2	slovo	verbum			perfektivní	6.1.8
rozvod	A2	slovo	substantivum	maskulinum	singulár		6.1.8
rozvrh	A2	slovo	substantivum	maskulinum	singulár		6.10.6
ručení	A2	slovo	substantivum	neutrum	singulár		6.6.8
rum	A2	slovo	substantivum	maskulinum	singulár		6.3.14
růst	A2	slovo	verbum			imperfektivní	4.4.4
růže	A2	slovo	substantivum	femininum	singulár		6.13.2
rychlost	A2	slovo	substantivum	maskulinum	singulár		4.3.5
řezník	A2	slovo	substantivum	maskulinum	singulár		6.8.10
říznout se	A2	slovo	verbum			perfektivní	6.7.3
s	A2	slovo	prepozice				5.2.1; 5.2.7; 5.6.3; 6.1.8; 6.3.3; 6.8.1; 6.8.3
s sebou	A2	slovo	pronomen				6.3.3
sádra	A2	slovo	substantivum	femininum	singulár		6.7.3
sál	A2	slovo	substantivum	maskulinum	singulár		6.5.10
samostatný	A2	slovo	adjektivum				6.2.2
sbírat	A2	slovo	verbum			imperfektivní	6.5.6
sci-fi	A2	slovo	substantivum	femininum	singulár		6.5.14
sedat si	A2	slovo	verbum			imperfektivní	4.4.6
sedět (o oblečení)	A2	slovo	verbum			imperfektivní	6.8.5
sednout si	A2	slovo	verbum			perfektivní	4.4.6
sejít	A2	slovo	verbum			perfektivní	4.4.11
sekunda	A2	slovo	substantivum	femininum	singulár		4.5.1
semafor	A2	slovo	substantivum	maskulinum	singulár		6.9.4
seminář	A2	slovo	substantivum	maskulinum	singulár		6.10.6
Senát	A2	slovo	substantivum	maskulinum	singulár		6.14.3
senátor	A2	slovo	substantivum	maskulinum	singulár		6.14.3
senátorka	A2	slovo	substantivum	femininum	singulár		6.14.3
